,順位,コード,名称,市場,時価総額,上場年月日,取引値,決算年月
272,273,4371,(株)コアコンセプト・テクノロジー,東証GRT,43462,2021-09-22,2500.0,2022/12
273,274,4372,ユミルリンク(株),東証GRT,4768,2021-09-22,1225.0,2022/12
274,275,4373,シンプレクス・ホールディングス(株),東証PRM,143776,2021-09-22,2493.0,2023/03
275,276,4018,(株)Ｇｅｏｌｏｃａｔｉｏｎ　Ｔｅｃｈｎｏｌｏｇｙ,福岡Q,1124,2021-09-13,726.0,2023/06
276,277,4370,モビルス(株),東証GRT,2712,2021-09-02,454.0,2023/08
277,278,9242,メディア総研(株),東証GRT,1910,2021-09-02,1585.0,2023/07
278,279,2934,ジェイフロンティア(株),東証GRT,18666,2021-08-27,3650.0,2023/05
279,280,7126,グローバルスタイル(株),東証STD,5517,2021-08-24,1575.0,2023/07
280,281,4076,(株)シイエヌエス,東証GRT,5036,2021-08-20,1733.0,2023/05
281,282,9241,(株)フューチャーリンクネットワーク,東証GRT,1137,2021-08-20,1360.0,2023/08
282,283,6227,ＡＩメカテック(株),東証STD,30402,2021-07-30,5400.0,2023/06
283,284,9240,(株)デリバリーコンサルティング,東証GRT,3172,2021-07-29,670.0,2023/07
284,285,4075,ブレインズテクノロジー(株),東証GRT,5836,2021-07-28,1049.0,2023/07
285,286,7379,(株)サーキュレーション,東証GRT,7041,2021-07-27,838.0,2023/07
286,287,2991,(株)ランドネット,東証STD,5976,2021-07-21,1004.0,2023/07
287,288,7378,(株)アシロ,東証GRT,5270,2021-07-20,717.0,2023/10
288,289,4074,(株)ラキール,東証GRT,11388,2021-07-16,1488.0,2022/12
289,290,7377,ＤＮホールディングス(株),東証STD,12739,2021-07-14,1513.0,2023/06
290,291,7792,(株)コラントッテ,東証GRT,8522,2021-07-08,945.0,2023/09
291,292,7376,ＢＣＣ(株),東証GRT,1915,2021-07-06,1710.0,2023/09
292,293,4072,(株)電算システムホールディングス,東証PRM,29238,2021-07-01,2709.0,2023/12
